14. 3. 10 오후 8:12
프로젝트 통계

      	   부분	   단어	문자 (공백 없이)	문자 (공백 포함)	
총:    	12553	90895	    350878	    367188	
남은:   	 5208	61534	    190704	    193764	
고유:   	 9580	85814	    318913	    332275	
남은 고유:	 5129	61208	    189514	    192514	


개별 파일 통계:

파일 이름           	총 부분	나머지 부분	고유 부분	남은 고유 부분	총 단어	남은 단어	고유 단어	나머지 고유 단어	총 문자 (공백 없이)	나머지 문자 (공백 없이)	고유 문자 (공백 없이)	나머지 고유 문자 (공백 없이)	총 문자 (공백 포함)	나머지 문자 (공백 포함)	고유 문자 (공백 포함)	나머지 고유 문자 (공백 포함)	
ebook/11.3.md   	 149	    84	  110	      81	1165	  985	 1106	      971	        4320	          3251	         3965	             3195	        4546	          3319	         4159	             3260	
ebook/11.4.md   	  14	    12	   12	      12	 209	  206	  206	      206	         629	           603	          603	              603	         638	           610	          610	              610	
ebook/12.0.md   	  18	    14	   15	      14	 195	  186	  191	      186	         616	           555	          586	              555	         625	           561	          592	              561	
ebook/12.1.md   	 167	    86	  138	      85	1258	  988	 1209	      987	        5005	          2902	         4616	             2898	        5192	          2926	         4777	             2921	
ebook/12.2.md   	 160	   101	  117	      99	1708	 1566	 1620	     1556	        5860	          4843	         5272	             4797	        5980	          4898	         5354	             4848	
ebook/12.3.md   	 187	    70	  155	      69	1198	  835	 1172	      834	        5527	          3097	         5373	             3093	        5936	          3134	         5765	             3129	
ebook/12.4.md   	 201	   130	  178	     128	1774	 1517	 1746	     1513	        7063	          5420	         6952	             5408	        7353	          5530	         7237	             5517	
ebook/12.5.md   	  19	    17	   17	      17	 224	  221	  221	      221	         653	           627	          627	              627	         667	           639	          639	              639	
ebook/13.0.md   	  21	    17	   18	      17	 341	  332	  337	      332	        1020	           959	          990	              959	        1029	           965	          996	              965	
ebook/13.1.md   	  70	    59	   61	      58	 752	  727	  742	      726	        2462	          2317	         2420	             2313	        2550	          2403	         2505	             2398	
ebook/13.2.md   	 238	    66	  184	      66	1318	  800	 1269	      800	        6450	          2545	         6076	             2545	        6902	          2573	         6510	             2573	
ebook/13.3.md   	 156	    56	  109	      56	 901	  636	  830	      636	        4209	          2148	         3663	             2148	        4722	          2430	         4124	             2430	
ebook/13.4.md   	 236	    48	  188	      47	1164	  538	 1138	      537	        5754	          1695	         5550	             1691	        6282	          1711	         6057	             1706	
ebook/13.5.md   	 207	    24	  129	      24	 545	  155	  440	      155	        3902	           606	         2956	              606	        4135	           629	         3134	              629	
ebook/13.6.md   	  16	    14	   14	      14	 178	  175	  175	      175	         557	           531	          531	              531	         565	           537	          537	              537	
ebook/14.0.md   	  20	    16	   17	      16	 276	  267	  272	      267	         814	           753	          784	              753	         825	           761	          792	              761	
ebook/14.1.md   	  72	    50	   60	      50	 572	  501	  547	      501	        2326	          1790	         2147	             1790	        2369	          1804	         2173	             1804	
ebook/14.2.md   	  89	    35	   65	      35	 456	  328	  427	      328	        2383	          1238	         2133	             1238	        2555	          1288	         2280	             1288	
ebook/14.3.md   	 266	    78	  139	      77	1728	 1086	 1428	     1083	        6710	          3038	         5281	             3027	        6883	          3085	         5404	             3074	
ebook/14.4.md   	 209	    41	  124	      40	 868	  428	  730	      422	        5786	          1359	         4406	             1340	        6099	          1380	         4648	             1361	
ebook/14.5.md   	  98	    29	   48	      28	 352	  216	  260	      214	        1796	           717	         1263	              703	        1903	           732	         1301	              717	
ebook/14.6.md   	  73	    25	   63	      25	 450	  284	  442	      284	        2130	           879	         2031	              879	        2227	           892	         2124	              892	
ebook/14.7.md   	  24	    22	   22	      22	 323	  320	  320	      320	         989	           963	          963	              963	         997	           969	          969	              969	
ebook/preface.md	 109	     1	  109	       1	 580	    5	  580	        5	        2376	            17	         2376	               17	        2542	            17	         2542	               17	
ebook/ref.md    	  23	     0	   17	       0	 103	    0	   97	        0	         690	             0	          678	                0	         704	             0	          692	                0	
glossary.md     	 103	   103	  103	     103	 148	  148	  148	      148	         584	           584	          584	              584	         635	           635	          635	              635	
README.md       	  31	     7	   31	       7	 317	  123	  317	      123	        1724	           480	         1724	              480	        1761	           485	         1761	              485	
